1,2,3,4,5,6,7,8
合肥,2021-11-10,晴,西风1-2级,15℃,多云,西风1-2级,3℃
合肥,2021-11-09,多云,西风3-4级,12℃,晴,西风3-4级,3℃
合肥,2021-11-08,晴,西北风1-2级,8℃,多云,西北风1-2级,2℃
合肥,2021-11-07(星期日),中雨,西北风3-4级,9℃,多云,西北风3-4级,1℃
合肥,2021-11-06(星期六),小雨,东北风1-2级,19℃,小雨,东北风1-2级,10℃
合肥,2021-11-05,小雨,东北风1-2级,20℃,阴,东北风1-2级,14℃
合肥,2021-11-04,多云,东风1-2级,23℃,小雨,东风1-2级,14℃
合肥,2021-11-03,多云,东南风1-2级,21℃,阴,东南风1-2级,12℃
合肥,2021-11-02,多云,东南风1-2级,20℃,多云,东南风1-2级,11℃
合肥,2021-11-01,多云,东北风1-2级,23℃,多云,东北风1-2级,13℃
合肥,2021-10-31(星期日),阴,东南风1-2级,22℃,多云,东南风1-2级,11℃
合肥,2021-10-30(星期六),晴,东南风1-2级,23℃,多云,东南风1-2级,10℃
合肥,2021-10-29,多云,东南风1-2级,21℃,多云,东南风1-2级,10℃
合肥,2021-10-28,多云,东南风1-2级,21℃,多云,东南风1-2级,10℃
合肥,2021-10-27,多云,东风1-2级,21℃,多云,东风1-2级,12℃
合肥,2021-10-26,多云,东风1-2级,21℃,晴,东风1-2级,13℃
合肥,2021-10-25,多云,东南风1-2级,20℃,多云,东南风1-2级,8℃
合肥,2021-10-24(星期日),晴,东南风1-2级,19℃,多云,东南风1-2级,9℃
合肥,2021-10-23(星期六),多云,东风1-2级,19℃,多云,东风1-2级,10℃
合肥,2021-10-22,阴,东北风1-2级,17℃,多云,东北风1-2级,8℃
合肥,2021-10-21,阴,北风1-2级,15℃,阴,北风1-2级,8℃
合肥,2021-10-20,小雨,北风1-2级,11℃,小雨,北风1-2级,7℃
合肥,2021-10-19,阴,东北风3-4级,17℃,小雨,东北风3-4级,10℃
合肥,2021-10-18,多云,南风1-2级,17℃,晴,南风1-2级,7℃
合肥,2021-10-17(星期日),多云,东风1-2级,15℃,阴,东风1-2级,9℃
合肥,2021-10-16(星期六),小雨,东北风1-2级,15℃,多云,东北风1-2级,6℃
合肥,2021-10-15,小雨,北风3-4级,18℃,中雨,北风3-4级,11℃
合肥,2021-10-14,小雨,东北风3-4级,21℃,中雨,东北风3-4级,15℃
合肥,2021-10-13,阴,北风1-2级,21℃,小雨,北风1-2级,17℃
合肥,2021-10-12,多云,东北风3-4级,21℃,多云,东北风3-4级,14℃
